id,payment_method,region,industry,trend_summary,key_driver,challenge,adoption_rate_%,growth_rate_%,transaction_volume_usd,report_source,record_date
73,UPI,Africa,Travel & Tourism,Shift toward digital wallets,Low transaction costs,Low rural adoption,86.73,12.22,469927548,IMF,10-12-2022
74,Debit Card,North America,Travel & Tourism,Cross-border remittance growth,Pandemic-driven cashless preference,Low rural adoption,56.05,-2.78,629816261.3,World Bank,08-08-2018
75,Debit Card,Oceania,Finance,Decline in cash transactions,Pandemic-driven cashless preference,High transaction fees,37.7,17.93,606711333.6,McKinsey,08-12-2024
76,Contactless NFC,Middle East,Utilities,Cross-border remittance growth,Increased smartphone penetration,Cross-border compliance barriers,94.35,4.16,621406293.8,RBI,02-11-2024
77,Net Banking,South America,Transportation,Decline in cash transactions,Pandemic-driven cashless preference,Technical outages,45.59,11.56,157376082.8,KPMG,01-08-2022
78,Cross-border Transfer,Middle East,Travel & Tourism,Rise in contactless payments,Consumer convenience and speed,Data privacy concerns,75.95,16.09,454577295.1,McKinsey,16-09-2025
79,Mobile Wallet,Oceania,Finance,Growth in BNPL usage,Integration with super apps,Low rural adoption,65.4,14.43,908503033.8,RBI,06-08-2019
80,UPI,Europe,Travel & Tourism,Expansion of QR-based systems,Regulatory reforms supporting fintech,Data privacy concerns,58.54,9.06,304787099.4,PwC,07-07-2022
81,Contactless NFC,Africa,Utilities,Cross-border remittance growth,Pandemic-driven cashless preference,Cross-border compliance barriers,32.59,7.96,322999261.8,Statista,22-10-2020
82,Credit Card,Europe,Finance,Expansion of QR-based systems,Government digital initiatives,Data privacy concerns,67.46,17.89,176015537.2,KPMG,27-10-2023
83,Mobile Wallet,Europe,Finance,Integration of AI in fraud detection,Low transaction costs,Low rural adoption,60.55,7.25,321737197.7,World Bank,05-03-2019
84,QR Code Payment,Middle East,Utilities,Decline in cash transactions,Integration with super apps,Digital literacy gaps,32.39,-2.36,253146452.1,BCG,20-04-2019
85,Contactless NFC,Oceania,Retail,Adoption of biometric authentication,Low transaction costs,Regulatory uncertainty,33.52,10.55,623011238.7,KPMG,04-08-2023
86,UPI,Europe,Travel & Tourism,Adoption of biometric authentication,Enhanced security features,Data privacy concerns,58.48,15.95,122304657.3,Deloitte,24-01-2025
87,Net Banking,South America,Food Delivery,Decline in cash transactions,Financial inclusion efforts,Cybersecurity risks,65.9,-2.2,992264882.3,KPMG,10-04-2019
88,Credit Card,South America,Food Delivery,Cross-border remittance growth,Increased smartphone penetration,Digital literacy gaps,75.85,7.46,483017077.4,McKinsey,19-04-2023
89,Crypto Payment,Africa,Food Delivery,Integration of AI in fraud detection,Consumer convenience and speed,Cross-border compliance barriers,63.04,21.38,864162907.5,BCG,05-02-2021
90,QR Code Payment,Oceania,Entertainment,Decline in cash transactions,Government digital initiatives,Data privacy concerns,77.19,20.12,580343460.5,KPMG,27-05-2025
91,Debit Card,Middle East,Entertainment,Cross-border remittance growth,Merchant incentives and cashback offers,Merchant acceptance issues,65.87,11.3,455889272.3,McKinsey,11-08-2021
92,Net Banking,Africa,Education,Growth in BNPL usage,Integration with super apps,Cybersecurity risks,50.68,9.19,913516737.7,BCG,11-04-2022
93,Debit Card,Middle East,Retail,Shift toward digital wallets,Financial inclusion efforts,Cross-border compliance barriers,51.58,-1.99,845194383.7,Accenture,13-02-2019
94,Crypto Payment,North America,Food Delivery,Integration of AI in fraud detection,Enhanced security features,Low rural adoption,60.52,24.08,339222672.8,BCG,08-10-2025
95,Credit Card,Oceania,Healthcare,Adoption of biometric authentication,Integration with super apps,Merchant acceptance issues,70.74,21.62,488459537.9,Statista,26-01-2024
96,Cross-border Transfer,North America,Transportation,Decline in cash transactions,Consumer convenience and speed,Low rural adoption,58.21,-2.05,634114081,KPMG,16-02-2019
97,Debit Card,South America,Travel & Tourism,Rise in contactless payments,Government digital initiatives,Merchant acceptance issues,81.75,3.8,375466248.7,McKinsey,20-08-2019
98,Contactless NFC,Middle East,Finance,Shift toward digital wallets,Enhanced security features,Technical outages,35.13,21.13,620090658.2,KPMG,13-09-2020
99,Cross-border Transfer,Europe,Transportation,Cross-border remittance growth,Increased smartphone penetration,Network dependency,46.6,-4.72,804828443.9,Accenture,24-03-2021
100,Debit Card,North America,Utilities,Emergence of crypto transactions,Regulatory reforms supporting fintech,Data privacy concerns,71.53,7.73,250848126.2,McKinsey,22-05-2021
101,BNPL,Oceania,Utilities,Increased UPI adoption,Consumer convenience and speed,Regulatory uncertainty,67.17,12.24,992699351.6,Statista,24-04-2021
102,BNPL,Asia-Pacific,Retail,Expansion of QR-based systems,Government digital initiatives,Cross-border compliance barriers,78.44,19.99,903031983.5,Deloitte,31-07-2020
103,QR Code Payment,Europe,Transportation,Expansion of QR-based systems,Increased smartphone penetration,Technical outages,70.84,22.1,646694268.3,KPMG,19-06-2021
104,UPI,Africa,Healthcare,Shift toward digital wallets,Pandemic-driven cashless preference,Data privacy concerns,51.24,7.47,201593999.9,IMF,19-01-2024
105,Contactless NFC,Africa,Travel & Tourism,Shift toward digital wallets,Increased smartphone penetration,Network dependency,92.88,3.85,870526562.4,KPMG,17-04-2019
106,Credit Card,Europe,Transportation,Integration of AI in fraud detection,Financial inclusion efforts,Merchant acceptance issues,35.87,6.84,265194119.8,KPMG,22-05-2019
107,QR Code Payment,South America,Travel & Tourism,Expansion of QR-based systems,Integration with super apps,Merchant acceptance issues,37.04,2.01,25999625,IMF,18-04-2024
108,Cross-border Transfer,Europe,E-commerce,Cross-border remittance growth,Increased smartphone penetration,Regulatory uncertainty,37.58,-3.64,38174916.1,RBI,11-07-2023
109,Credit Card,Europe,Entertainment,Shift toward digital wallets,Integration with super apps,Network dependency,54.12,23.48,696787507.7,BCG,22-01-2024
110,Cross-border Transfer,South America,Food Delivery,Integration of AI in fraud detection,Pandemic-driven cashless preference,Network dependency,70.02,23.17,280460400,IMF,28-09-2025
111,Net Banking,Middle East,Utilities,Growth in BNPL usage,Merchant incentives and cashback offers,Low rural adoption,93.76,6.02,901794516.2,IMF,26-03-2025
112,UPI,Middle East,Travel & Tourism,Growth in BNPL usage,Pandemic-driven cashless preference,Network dependency,35.96,1.36,639853425.6,Statista,29-03-2018
113,QR Code Payment,Europe,Food Delivery,Expansion of QR-based systems,Consumer convenience and speed,Low rural adoption,83.94,11.63,586796700.5,IMF,12-08-2020
114,Debit Card,Oceania,Finance,Rise in contactless payments,Increased smartphone penetration,Technical outages,94.19,11.21,798715309.7,Statista,27-03-2019
115,Debit Card,North America,Healthcare,Growth in BNPL usage,Regulatory reforms supporting fintech,Merchant acceptance issues,31.03,2.96,127631785.2,Accenture,21-09-2022
116,Credit Card,South America,E-commerce,Cross-border remittance growth,Low transaction costs,Merchant acceptance issues,63.36,-1.73,504334851.1,Statista,24-11-2024
117,Contactless NFC,Asia-Pacific,Utilities,Rise in contactless payments,Government digital initiatives,Network dependency,85.07,7.79,108853867.9,KPMG,27-12-2025
118,Credit Card,North America,Healthcare,Expansion of QR-based systems,Enhanced security features,Low rural adoption,38.2,13.73,585779323.9,IMF,26-12-2025
119,BNPL,Africa,Entertainment,Decline in cash transactions,Low transaction costs,Digital literacy gaps,69.35,-2.02,702077639.1,Accenture,05-05-2025
120,Net Banking,Middle East,Utilities,Growth in BNPL usage,Integration with super apps,Merchant acceptance issues,83.78,6.96,729882895.1,BCG,04-07-2021
121,QR Code Payment,South America,Travel & Tourism,Emergence of crypto transactions,Enhanced security features,Network dependency,34.36,19.95,94136871.6,IMF,31-01-2019
122,Debit Card,Africa,Retail,Expansion of QR-based systems,Financial inclusion efforts,Digital literacy gaps,51.43,-1.33,354244481.6,BCG,18-06-2025
123,UPI,Asia-Pacific,Finance,Decline in cash transactions,Merchant incentives and cashback offers,Low rural adoption,67.56,1.38,657079566.7,RBI,07-07-2020
124,QR Code Payment,Oceania,Entertainment,Emergence of crypto transactions,Pandemic-driven cashless preference,Data privacy concerns,67.32,19.22,845310006.2,Deloitte,21-12-2024
125,Contactless NFC,North America,Finance,Decline in cash transactions,Government digital initiatives,Technical outages,47.76,17.87,921615983.5,Statista,08-12-2021
126,Debit Card,Oceania,Food Delivery,Expansion of QR-based systems,Integration with super apps,Low rural adoption,39.22,14,31626441.28,McKinsey,13-12-2023
127,BNPL,Middle East,Utilities,Emergence of crypto transactions,Enhanced security features,Merchant acceptance issues,50.26,4.73,941466016.6,RBI,08-09-2024
128,UPI,Europe,Food Delivery,Expansion of QR-based systems,Government digital initiatives,Low rural adoption,47.69,14.86,486176043.2,BCG,16-12-2022
129,Mobile Wallet,Europe,Entertainment,Increased UPI adoption,Merchant incentives and cashback offers,Regulatory uncertainty,37.21,15.35,593541116.1,PwC,29-11-2023
130,UPI,Europe,Education,Expansion of QR-based systems,Government digital initiatives,Cybersecurity risks,43.29,23.36,767582177.8,PwC,12-11-2020
131,QR Code Payment,North America,Retail,Cross-border remittance growth,Integration with super apps,Technical outages,38.4,10.98,230880605.4,IMF,07-04-2024
132,Credit Card,Middle East,Retail,Integration of AI in fraud detection,Government digital initiatives,Network dependency,89.88,20.86,576183401.6,BCG,06-06-2024
133,BNPL,Asia-Pacific,E-commerce,Integration of AI in fraud detection,Government digital initiatives,Merchant acceptance issues,41.17,23.43,460636805,IMF,25-09-2025
134,Credit Card,Middle East,E-commerce,Growth in BNPL usage,Integration with super apps,Cross-border compliance barriers,56.03,-2.64,870653891.8,McKinsey,22-10-2021
135,QR Code Payment,Oceania,Food Delivery,Increased UPI adoption,Financial inclusion efforts,Low rural adoption,64.49,0.82,776452001.1,World Bank,09-12-2021
136,Net Banking,North America,Food Delivery,Decline in cash transactions,Consumer convenience and speed,Technical outages,69.16,17.81,655853501.5,KPMG,27-12-2019
137,Crypto Payment,Oceania,Finance,Expansion of QR-based systems,Low transaction costs,Cross-border compliance barriers,71.79,24.6,323885033.4,IMF,13-01-2025
138,Debit Card,Middle East,E-commerce,Cross-border remittance growth,Low transaction costs,Data privacy concerns,81.76,12.74,352590280.4,PwC,31-10-2018
139,Crypto Payment,Middle East,Retail,Rise in contactless payments,Merchant incentives and cashback offers,Data privacy concerns,34.99,20.93,855438078.1,Deloitte,24-11-2024
140,Contactless NFC,Middle East,Utilities,Expansion of QR-based systems,Financial inclusion efforts,Cybersecurity risks,59.23,19.29,652185617.2,Deloitte,09-08-2021
141,Crypto Payment,Africa,Food Delivery,Rise in contactless payments,Low transaction costs,Low rural adoption,82.71,20.12,982403195.5,Accenture,12-12-2018
142,Debit Card,North America,Transportation,Cross-border remittance growth,Low transaction costs,Digital literacy gaps,63.98,-0.24,373479130.1,BCG,04-03-2021
143,BNPL,Oceania,Healthcare,Expansion of QR-based systems,Government digital initiatives,Merchant acceptance issues,34.28,-2.16,678700965.5,PwC,09-03-2021
144,Cross-border Transfer,Oceania,Food Delivery,Emergence of crypto transactions,Pandemic-driven cashless preference,Cross-border compliance barriers,73.13,22.5,310921505.8,BCG,11-05-2025
145,Debit Card,Africa,E-commerce,Decline in cash transactions,Financial inclusion efforts,Regulatory uncertainty,71.83,4.85,128665970.3,Accenture,18-11-2025
146,Credit Card,South America,Education,Adoption of biometric authentication,Merchant incentives and cashback offers,Cybersecurity risks,53.57,0.41,214978468.6,McKinsey,15-06-2023
147,Net Banking,Europe,Food Delivery,Increased UPI adoption,Increased smartphone penetration,Low rural adoption,63,11.19,738905359,Statista,27-11-2023
148,QR Code Payment,Oceania,Finance,Shift toward digital wallets,Regulatory reforms supporting fintech,Regulatory uncertainty,40.03,0.43,693152795.2,World Bank,02-01-2025
149,Crypto Payment,North America,Education,Emergence of crypto transactions,Consumer convenience and speed,Network dependency,69.69,17.57,784016559.1,Accenture,16-08-2020
150,Net Banking,Asia-Pacific,Utilities,Growth in BNPL usage,Merchant incentives and cashback offers,Cross-border compliance barriers,93.99,8.85,282489961,Accenture,14-04-2022
151,Contactless NFC,Middle East,Food Delivery,Growth in BNPL usage,Regulatory reforms supporting fintech,Technical outages,86.75,-3.43,481110064.8,Accenture,01-03-2022
152,Credit Card,South America,Entertainment,Increased UPI adoption,Increased smartphone penetration,Low rural adoption,79.6,3.18,905400902.8,BCG,27-08-2019
153,Credit Card,Europe,Utilities,Emergence of crypto transactions,Government digital initiatives,Regulatory uncertainty,33.46,10.06,236542295.8,IMF,01-12-2018
154,Net Banking,North America,Healthcare,Increased UPI adoption,Merchant incentives and cashback offers,Technical outages,38.94,3.61,829931821.6,World Bank,22-10-2025
155,Crypto Payment,Middle East,Finance,Rise in contactless payments,Pandemic-driven cashless preference,Cybersecurity risks,46.64,20.05,549255441.2,Accenture,29-10-2024
156,BNPL,North America,Travel & Tourism,Growth in BNPL usage,Increased smartphone penetration,Low rural adoption,33.1,7.59,794105209.5,RBI,16-02-2023
157,Credit Card,Oceania,Utilities,Expansion of QR-based systems,Financial inclusion efforts,Cybersecurity risks,71.08,12.25,718825783.5,BCG,08-04-2021
158,UPI,Africa,Healthcare,Growth in BNPL usage,Regulatory reforms supporting fintech,Regulatory uncertainty,42.18,15.05,523961073.1,RBI,17-01-2022
159,Contactless NFC,Africa,Entertainment,Adoption of biometric authentication,Financial inclusion efforts,Cybersecurity risks,55.38,9.1,636035120.7,PwC,10-03-2022
160,UPI,Asia-Pacific,E-commerce,Emergence of crypto transactions,Consumer convenience and speed,Low rural adoption,80.15,17.06,333186089.8,IMF,01-07-2018
161,Contactless NFC,Asia-Pacific,Food Delivery,Cross-border remittance growth,Low transaction costs,Technical outages,82.75,-3.11,776414209.3,Statista,18-02-2023
162,Mobile Wallet,Europe,Retail,Growth in BNPL usage,Government digital initiatives,Merchant acceptance issues,90.67,10.46,989133579.6,KPMG,03-02-2024
163,Mobile Wallet,North America,Transportation,Decline in cash transactions,Merchant incentives and cashback offers,Cybersecurity risks,86.28,4.96,125350533.2,BCG,16-02-2022
164,BNPL,South America,Utilities,Integration of AI in fraud detection,Merchant incentives and cashback offers,Technical outages,62.25,9.93,924386156.2,PwC,28-10-2023
165,Credit Card,South America,Education,Increased UPI adoption,Integration with super apps,Cross-border compliance barriers,94.68,0.41,294472652.6,RBI,25-02-2019
166,QR Code Payment,South America,Travel & Tourism,Decline in cash transactions,Low transaction costs,Cross-border compliance barriers,76.65,0,444464472.7,Statista,06-01-2023
167,QR Code Payment,Africa,Education,Decline in cash transactions,Government digital initiatives,Low rural adoption,73.63,7.19,513572933.5,World Bank,14-08-2025
168,UPI,Europe,Finance,Cross-border remittance growth,Government digital initiatives,Technical outages,34.37,18.36,366962144.6,Deloitte,18-04-2022
169,UPI,Africa,Food Delivery,Cross-border remittance growth,Merchant incentives and cashback offers,Merchant acceptance issues,58.86,-2.69,138557412.7,BCG,12-02-2022
170,QR Code Payment,South America,Travel & Tourism,Growth in BNPL usage,Pandemic-driven cashless preference,Cybersecurity risks,77.82,9.97,387600392.7,RBI,19-04-2024
171,Mobile Wallet,Oceania,Travel & Tourism,Cross-border remittance growth,Consumer convenience and speed,Cross-border compliance barriers,48.56,22.49,491708995.1,World Bank,18-05-2019
172,Credit Card,Middle East,Food Delivery,Cross-border remittance growth,Pandemic-driven cashless preference,Merchant acceptance issues,73.41,16.29,550447150.3,PwC,04-04-2021
173,Debit Card,South America,Food Delivery,Emergence of crypto transactions,Financial inclusion efforts,High transaction fees,37.89,1.03,139737995.2,Statista,17-07-2023
174,QR Code Payment,Africa,Finance,Emergence of crypto transactions,Low transaction costs,Digital literacy gaps,38.44,21.53,66682357.16,KPMG,19-06-2022
175,Contactless NFC,Middle East,Education,Expansion of QR-based systems,Pandemic-driven cashless preference,Technical outages,93.2,14.27,450524521.2,Accenture,17-08-2025
176,QR Code Payment,Europe,Entertainment,Expansion of QR-based systems,Enhanced security features,Technical outages,58.12,22.32,56357437.17,Accenture,24-05-2019
177,Debit Card,Asia-Pacific,Food Delivery,Shift toward digital wallets,Merchant incentives and cashback offers,High transaction fees,52.49,23.23,895030990.9,PwC,20-11-2018
178,Net Banking,South America,Entertainment,Decline in cash transactions,Enhanced security features,Data privacy concerns,69.94,-2.2,641346439.9,Deloitte,21-08-2024
179,Debit Card,Europe,Finance,Expansion of QR-based systems,Merchant incentives and cashback offers,Cross-border compliance barriers,32.68,20.91,82141632.04,Deloitte,12-03-2025
180,Mobile Wallet,South America,Transportation,Expansion of QR-based systems,Integration with super apps,Cross-border compliance barriers,71.53,9.94,627536846.3,PwC,01-04-2021
181,Crypto Payment,Europe,Education,Decline in cash transactions,Low transaction costs,Low rural adoption,74.76,-0.26,416206124.5,McKinsey,18-03-2023
182,QR Code Payment,Africa,Food Delivery,Emergence of crypto transactions,Merchant incentives and cashback offers,Merchant acceptance issues,93.4,-1.08,371169657.9,RBI,19-04-2024
183,QR Code Payment,Europe,Utilities,Increased UPI adoption,Increased smartphone penetration,Network dependency,46.11,-2.1,290921793,Deloitte,23-04-2022
